label,n,neglogP,survives,where,source
code stays below the density baseline,433,,2,main,06 independence
aromatics gained on branch 2 → 5,20,4.7,3,main,05 opt A
acids gained on branch 0 → 1,17,5.8,3,main,05 opt A
combinatorial code 0 → 7.4 → 32%,53,,3,main,07 stages
"Class I saturates, Class II expands",433,,3,main,06 trajectory
functional half-life 0.16 subs/site,861,,3,main,04 half-life
class-overlap curves over time,433,,0,supplement,06 composition
node 0 is already aromatic-enriched,21,2.52,2,supplement,05 opt B
the two shifts are near-orthogonal,37,3.3,3,supplement,05 opt D
ligand count vs distance from root,865,0.06,0,not shown,03 decay
